epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
90,0.08001722618103027,0.9721,0.5809971684455871,0.858
91,0.05985549125790596,0.97964,0.5447903834342956,0.8654
92,0.052627970246076586,0.98206,0.5438142325401306,0.866
93,0.047799913172721864,0.98432,0.5457066432952881,0.8663
94,0.04593464686512947,0.98568,0.5479105212211609,0.8658
95,0.04257274181008339,0.98642,0.5451200781822204,0.8673
96,0.04345178483963013,0.9863,0.5493570568084717,0.8672
97,0.04029128688931465,0.98688,0.5465115217208862,0.868
98,0.03684289628982544,0.98804,0.5503840817451477,0.8684
99,0.0368305461871624,0.98824,0.5510940246582031,0.8677
100,0.03412064921140671,0.98932,0.5534890310287476,0.8687
101,0.03602238713502884,0.98872,0.5587435979843139,0.8666
102,0.03624032389938831,0.98844,0.5544315201759339,0.8684
103,0.03509437814772129,0.9888,0.5585383616447449,0.8682
104,0.0328665364921093,0.98956,0.5641801684379578,0.8686
105,0.03381019749879837,0.98936,0.5666097754478454,0.8672
106,0.03299013450145721,0.98966,0.5611609148979188,0.8679
107,0.03272445244789123,0.98966,0.5660226805686951,0.8675
108,0.03174074806392193,0.99042,0.5704505803108215,0.8683
109,0.029131653320789336,0.99078,0.5707720952033997,0.868
110,0.03149118342459202,0.99032,0.5714458396911621,0.8662
111,0.030466029344797134,0.99014,0.5736450135231018,0.8656
112,0.02825138952255249,0.9914,0.5698213106155395,0.8663
113,0.02862196359336376,0.99146,0.5780296568870544,0.8677
114,0.027022039201259614,0.99176,0.577489420413971,0.8656
115,0.029548726407885553,0.99092,0.5820555088043213,0.8694
116,0.026936004898548128,0.99126,0.5838616905212403,0.8687
117,0.027742919104099272,0.99146,0.5816950416564941,0.867
118,0.026914042805433275,0.99144,0.5844227439880371,0.8661
119,0.02605984806060791,0.99184,0.5828906452178955,0.8669
120,0.025651152217388153,0.99196,0.5891719964981079,0.8646
121,0.026912444034218788,0.99142,0.5886749119758606,0.8674
122,0.025492090018987657,0.99248,0.5853672596931457,0.8674
123,0.024980179497003555,0.99244,0.590661502456665,0.8671
124,0.025530910291671753,0.9924,0.592147329902649,0.8658
125,0.02498506831407547,0.99214,0.5956126674652099,0.866
126,0.02498958935022354,0.9925,0.5921794166564941,0.8661
127,0.022326204905509947,0.99334,0.5943326439857483,0.8664
128,0.02428409249305725,0.99258,0.6013841862678528,0.8647
129,0.022838400136828422,0.99294,0.5949407414436341,0.8671
130,0.02236118863582611,0.99322,0.6006483054161071,0.8662
