epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,2.6445218061828615,0.18094,2.023937293815613,0.2296
2,2.034049558639526,0.2633,1.7579432243347168,0.3168
3,1.7731207821655273,0.33284,1.66937127532959,0.3703
4,1.6039863845443725,0.40774,1.454073331260681,0.4614
5,1.4766515911102296,0.45904,1.366557179069519,0.4999
6,1.3607065592193603,0.5066,1.3791392477035522,0.518
7,1.4753227812576295,0.46206,1.2704243423461914,0.5418
8,1.2735938678741454,0.53996,1.346095679473877,0.5182
9,1.1699436540222168,0.57846,1.1751146804809571,0.5871
10,1.090474514541626,0.60928,1.0421495891571044,0.6299
11,1.0321085732269286,0.63246,0.9576161270141601,0.6637
12,0.9989622937393189,0.64498,0.9999682428359985,0.6465
13,0.9446545664596557,0.66518,0.9518736436843872,0.6639
14,0.8996190821266175,0.68028,0.9775731002807617,0.6578
15,0.8722555198669434,0.68892,0.8838590238571167,0.6923
16,0.8411835633468628,0.70402,0.8433371949195861,0.7026
17,0.8167302668380737,0.71212,0.8917678617477417,0.6919
18,0.9276662088394165,0.674,0.919184741973877,0.6831
19,0.8775038032150269,0.69006,0.8620039523124695,0.697
20,0.7940347441101074,0.72282,0.8195253108978271,0.7164
21,0.7590713346481324,0.73236,0.7856195233345031,0.7268
22,0.7428809388923645,0.7393,0.7545349206924439,0.7367
23,0.718303072052002,0.7464,0.8050377966880798,0.723
24,0.69725816614151,0.75512,0.7056741797447205,0.7564
25,0.6913742561721802,0.75778,0.7873051463127136,0.7263
26,0.6716211595726013,0.76566,0.8191041404724121,0.7287
27,0.6545460748672486,0.7696,0.7154146649360656,0.7566
28,0.6463700537872314,0.77586,0.7504856411933899,0.7432
29,0.6340537956237793,0.77856,0.7035339701652527,0.7567
30,0.6242526908874512,0.78142,0.7804268845558167,0.7426
31,0.614269767036438,0.7862,0.7152297983169555,0.7565
32,0.6123659476852417,0.78762,0.7378189231872558,0.7484
33,0.6020181457519531,0.79066,0.6801612241744995,0.7727
34,0.5863815386581421,0.79662,0.6754325905799866,0.7708
35,0.5881293126487732,0.79454,0.6695271855354309,0.7733
36,0.5758617855834961,0.80088,0.753063623714447,0.7468
37,0.5677024326896668,0.80298,0.7370487417221069,0.756
38,0.5609628845787048,0.8038,0.7127159206390381,0.7575
39,0.5539807305526734,0.80622,0.6823566171646118,0.7724
40,0.5533754424285888,0.80652,0.7132369614601135,0.7601
41,0.442697158870697,0.84702,0.4998514714241028,0.83
42,0.3979455431747437,0.86066,0.5012333507537842,0.8297
43,0.3828576648616791,0.86764,0.4930019205093384,0.8368
44,0.3663542912197113,0.87198,0.495305623626709,0.8346
45,0.3615817139530182,0.87466,0.4886345850944519,0.8366
46,0.34960478134155276,0.8786,0.48989857997894287,0.8376
47,0.3466219543647766,0.87964,0.4879580085754395,0.8398
48,0.34023341972351073,0.88206,0.4831869194030762,0.8378
49,0.3328808896541596,0.88386,0.48645850324630735,0.8356
50,0.32734912828445434,0.88594,0.4796481199264526,0.8415
51,0.3218896601295471,0.88734,0.48229295015335083,0.8386
52,0.317036498336792,0.88862,0.4886355986595154,0.8402
53,0.3155159495162964,0.88876,0.4780547924041748,0.8432
54,0.308467511882782,0.89238,0.48392305974960326,0.8453
55,0.3037889228057861,0.89474,0.4845743071556091,0.8411
56,0.30086283503532407,0.8955,0.4847612768173218,0.8456
57,0.2961310738658905,0.8962,0.4996382194519043,0.8421
58,0.2867851225376129,0.89954,0.4905206860542297,0.8463
59,0.28790752177238466,0.89798,0.4874516414642334,0.8461
60,0.28303971627235414,0.90182,0.4946365877151489,0.8438
61,0.27766023698806763,0.90212,0.49637139825820925,0.8451
62,0.2764511603832245,0.90296,0.5021336035728454,0.8447
63,0.27329448506355286,0.90446,0.500574382686615,0.8452
64,0.26825604786872864,0.9065,0.5147246114730835,0.8393
65,0.26492910351753235,0.90726,0.5153160643577576,0.84
66,0.2598560607433319,0.90806,0.5011763258934021,0.8432
67,0.2583002600955963,0.90828,0.4990605263710022,0.8471
68,0.25904280238628385,0.90872,0.5108902340888977,0.8413
69,0.2552108797073364,0.91122,0.5369854031562805,0.8359
70,0.24718117254257202,0.91298,0.5046975903511047,0.8468
71,0.24647873777866364,0.91462,0.5166705070495605,0.8464
72,0.23750875751018524,0.91656,0.5238645233154297,0.8394
73,0.23520558762550353,0.91762,0.5117972881317139,0.8467
74,0.24360327008247376,0.91368,0.516296664237976,0.8448
75,0.23496784708023072,0.91892,0.5324985706329346,0.8387
76,0.23081792847633362,0.92002,0.5320418698310853,0.8399
77,0.22816319745063782,0.92052,0.5354597833633423,0.8409
78,0.2284363193321228,0.91966,0.5391927222251892,0.8418
79,0.2252675699520111,0.91934,0.5555536659240723,0.8375
80,0.22381770049095154,0.9211,0.5435644442558288,0.8394
81,0.2181740557527542,0.92354,0.537527500629425,0.8424
82,0.21410954424858095,0.9245,0.5407496273994445,0.8436
83,0.21428252398490905,0.92514,0.5447896041870117,0.839
84,0.21097435214042665,0.92584,0.5308878570556641,0.8468
85,0.21234309986114502,0.92508,0.553388244342804,0.8399
86,0.20896186599254607,0.92588,0.5630778829574585,0.8397
87,0.20240285873413086,0.92884,0.5466446378707885,0.8421
88,0.20561348974227905,0.92628,0.5577286087989807,0.8406
89,0.20312382884025573,0.9288,0.567170234298706,0.8375
90,0.20291656769752503,0.92974,0.5615997230529786,0.8418
91,0.171950202088356,0.94038,0.526902055644989,0.8462
92,0.15711545531749727,0.94574,0.525155797958374,0.8478
93,0.14849540262699126,0.94946,0.5301261157989502,0.8493
94,0.14750711812734604,0.94994,0.530512947845459,0.8475
95,0.14512362785577773,0.95108,0.5340199704170228,0.848
96,0.13966143122196198,0.95204,0.5357988898277283,0.8492
97,0.13851245486259461,0.95288,0.5387058276176453,0.8485
98,0.1352802614402771,0.95378,0.5409621041297913,0.85
99,0.13615964735507965,0.95328,0.5411736927986145,0.8484
100,0.12834929833889008,0.95542,0.5438307621955871,0.8491
101,0.1287313582420349,0.9563,0.5439498801231384,0.8508
102,0.1273730030822754,0.95758,0.5487686936378479,0.849
103,0.12606112432003022,0.95838,0.549338813495636,0.8493
104,0.12405465666294098,0.95812,0.5523873878479004,0.85
105,0.12374501937389373,0.95854,0.5561286098480225,0.8494
106,0.12185416983842849,0.9594,0.5592150131225586,0.8494
107,0.12133055060863494,0.95828,0.5571847780227661,0.8493
108,0.11806925553321838,0.95984,0.5608405335426331,0.8484
109,0.12159834217071533,0.95752,0.5593780110359192,0.8512
110,0.11846602941036224,0.95942,0.5626529657363891,0.8513
111,0.1170515545129776,0.95962,0.5653911513328552,0.8501
112,0.11447659840583801,0.96178,0.5660712619781494,0.8502
113,0.11325011516332627,0.96096,0.5685871331214905,0.8503
114,0.11326945348501205,0.96182,0.5698404388427735,0.8493
115,0.11453216825962066,0.96186,0.5722675689697265,0.8508
116,0.11521985850811005,0.9603,0.5729720254898071,0.8523
117,0.11408242311477661,0.96208,0.5726191502571106,0.8499
118,0.10994124022960663,0.9641,0.575901069355011,0.8498
119,0.10700214198112488,0.96306,0.575167099571228,0.8491
120,0.10745742454051971,0.96368,0.5783954963684083,0.8498
