epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.2690602933692932,0.5709,1.1130512235641479,0.6575
2,0.8281511725997924,0.7148,0.7789280110359192,0.7355
3,0.6641903490066529,0.7726,0.789369689655304,0.7264
4,0.5806634337615967,0.79934,0.7056180377006531,0.762
5,0.5248379513359069,0.81768,0.6786125738143921,0.776
6,0.5007402976989747,0.82674,0.5747247325897217,0.8072
7,0.4726405879974365,0.8357,0.6011137869834899,0.8028
8,0.44795957021713256,0.8454,0.7075360879898072,0.7755
9,0.44396927859306334,0.84644,0.5784779935836792,0.8045
10,0.4138411713027954,0.85702,0.5639826100349427,0.8124
11,0.40573021928787234,0.85858,0.5972831645011902,0.7963
12,0.3861099360370636,0.86576,0.574719713973999,0.806
13,0.385299575881958,0.86438,0.5911691432952881,0.8047
14,0.3732421821022034,0.86828,0.6073368298530578,0.8067
15,0.3714087622833252,0.86944,0.5703999743461609,0.8184
16,0.35463819005966185,0.87682,0.5802497007369996,0.8128
17,0.35176659080505374,0.87536,0.5503206011772156,0.8219
18,0.3419093835067749,0.87944,0.5092032234191894,0.8313
19,0.32860919056892396,0.88528,0.5643116412162781,0.8211
20,0.3275931968593597,0.88468,0.5369383967399597,0.8309
21,0.32567474555015563,0.88534,0.6260478587150574,0.7967
22,0.3236648299217224,0.88498,0.6313083045959472,0.8069
23,0.31341839004516603,0.88938,0.6115704018592835,0.8106
24,0.31411349725723264,0.89,0.5298246017456054,0.8301
25,0.30916377329826356,0.8901,0.5650635132789612,0.8143
26,0.3073945173072815,0.8917,0.5540433714866638,0.8262
27,0.30194574695587156,0.89334,0.6071910486221314,0.816
28,0.2994962700366974,0.89442,0.667156739616394,0.7937
29,0.29071213297843934,0.8982,0.6733534241676331,0.7954
30,0.2971144070625305,0.89548,0.6222465984344483,0.8091
31,0.28629786705970767,0.89898,0.597704882144928,0.811
32,0.2868896317386627,0.89896,0.6208208680152894,0.8093
33,0.28705536252975467,0.89844,0.6157593748092651,0.8033
