epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.3419845409965516,0.54898,1.2970359533309936,0.6056
2,0.8208385733413697,0.72078,0.7667855854034424,0.7398
3,0.6705987223052978,0.76904,0.740269359588623,0.7441
4,0.5777693388748169,0.79968,0.7725350405693054,0.7396
5,0.5388959142494202,0.81302,0.60831619348526,0.7964
6,0.5083072182846069,0.82412,0.649754172706604,0.7817
7,0.5077402871131897,0.82612,0.615511785030365,0.7924
8,0.4648764284324646,0.83902,0.6168964469909668,0.7929
9,0.44199435888290406,0.84526,0.5442887685775757,0.8148
10,0.42393093607902527,0.85266,0.5491785579681396,0.8159
11,0.40304587338447573,0.85838,0.5494767723083496,0.8203
12,0.38849032032966613,0.86558,0.5624448254585266,0.8117
13,0.3733291428565979,0.8681,0.5418546249389649,0.8182
14,0.3720310979270935,0.8685,0.5482781668663025,0.8188
15,0.357218513250351,0.87584,0.5464170636177063,0.8266
16,0.35657772952079775,0.87592,0.6590573841094971,0.7851
17,0.35164595954895017,0.87742,0.5963973786354065,0.8052
18,0.34853206280708315,0.87724,0.5874571415901184,0.8078
19,0.34024774656295775,0.88146,0.5631157221794129,0.8172
20,0.3315630755329132,0.88374,0.5342758527755738,0.8223
21,0.3259615118312836,0.88464,0.6159917010307312,0.8029
22,0.330820386800766,0.88256,0.5626189403533935,0.8176
23,0.32271227175712586,0.88558,0.5385305745124817,0.8272
24,0.31645145895004273,0.8896,0.6407825365066528,0.795
25,0.30786724445343017,0.89236,0.6063067885398865,0.8136
26,0.3083870529747009,0.89084,0.6174004198074341,0.81
27,0.307775001449585,0.89088,0.5725014178276062,0.8258
28,0.2977561243724823,0.89298,0.5616274189949035,0.8269
29,0.2908808051490784,0.89778,0.5559564054489136,0.8234
30,0.295101752948761,0.89656,0.5407412420272827,0.8327
31,0.2886391226005554,0.8986,0.6097079751014709,0.8151
32,0.2772063322067261,0.9027,0.6127013465881348,0.8139
33,0.2860462581062317,0.89842,0.5866246697425842,0.8179
34,0.28264811635017395,0.89984,0.5826669154167176,0.8166
35,0.27351514714241026,0.90508,0.5314654644966126,0.832
36,0.2687124053764343,0.90474,0.6078260243415833,0.8159
37,0.2743940929222107,0.90182,0.5553158256530761,0.8233
38,0.27288025073051453,0.90394,0.5381653991699219,0.8303
39,0.2741105485057831,0.9034,0.5389627952575684,0.8317
40,0.2567154611968994,0.90942,0.5657487314224243,0.825
41,0.18395940155029297,0.93596,0.4291248925209045,0.8682
42,0.1326986980867386,0.95334,0.44340017786026004,0.8709
43,0.11634147752046585,0.95842,0.46833224267959594,0.8693
44,0.10415845312356949,0.96342,0.4773097884178162,0.8712
45,0.09749572237730027,0.9656,0.48014597902297973,0.8728
46,0.08975250962257385,0.96768,0.48598421297073363,0.8721
47,0.08236238393306732,0.9707,0.4896246626853943,0.8742
48,0.08013163531780243,0.97278,0.49346632585525513,0.8736
49,0.07141966857671737,0.97512,0.5003972338676452,0.8738
50,0.06871726070165635,0.9754,0.502745267868042,0.874
51,0.06566026464343071,0.97716,0.50752605676651,0.8726
52,0.06209436545610428,0.97892,0.5120180743217468,0.8722
53,0.058322823069095614,0.9795,0.5062486464500427,0.8753
54,0.057692959759235385,0.97994,0.5138954083442688,0.8742
55,0.05548579770088196,0.98048,0.5296719095230102,0.877
56,0.05155755513429642,0.9818,0.5300107495307922,0.8757
57,0.05152121267437935,0.98216,0.5283949861526489,0.8726
58,0.04877838315010071,0.98302,0.5388059403419495,0.873
59,0.049650156874656674,0.98308,0.5397414431571961,0.8737
60,0.044447156952619554,0.98448,0.5478019630432129,0.8754
61,0.04283538624405861,0.98548,0.5553557357788086,0.8745
62,0.041931200388669966,0.9862,0.554359849357605,0.873
63,0.03978834132194519,0.9864,0.5482371751785279,0.875
64,0.03996718294978142,0.98634,0.5519793248176574,0.8746
65,0.03844395434737206,0.98656,0.5649372018814087,0.8759
66,0.037127609251737595,0.98766,0.573137413406372,0.8741
67,0.03552070610880852,0.98764,0.5610039323806763,0.8752
68,0.035536737426519395,0.98772,0.5878653667449951,0.8738
69,0.03365989528298378,0.9886,0.5707987111091614,0.8738
70,0.03351687018752098,0.98852,0.5808797920227051,0.8739
71,0.03086059386253357,0.98948,0.5912512519836426,0.8738
72,0.030522455052137375,0.9892,0.5878282214164734,0.8746
73,0.03133981697916985,0.98946,0.5898393725395202,0.8736
74,0.028875172170400618,0.99088,0.5946150857925415,0.8704
75,0.030115931339263918,0.98982,0.5982290202140809,0.8733
76,0.026824064250588416,0.991,0.5976639117240906,0.8744
77,0.02740514151930809,0.99122,0.601429914855957,0.8749
78,0.02804676914572716,0.99066,0.6097860282897949,0.8735
79,0.026521991428136826,0.99104,0.6084130736351013,0.8744
80,0.028156957985162736,0.99074,0.6017590599060059,0.874
81,0.02465381129026413,0.9918,0.6049807239532471,0.8739
82,0.026177904036045075,0.99136,0.5981029029846191,0.8768
83,0.024466157675385476,0.9915,0.6111256096839904,0.8733
84,0.024019986220002173,0.99166,0.6125600813865661,0.872
85,0.02143892569422722,0.99274,0.6030932982444763,0.873
86,0.025120503811836243,0.99166,0.6030317074775696,0.8739
87,0.023777109577655792,0.99182,0.6220528812408447,0.87
88,0.021319222631454467,0.99298,0.6108633796691895,0.8746
89,0.02164143316745758,0.9929,0.6279049325942994,0.872
90,0.021257524804472922,0.99316,0.617664050579071,0.8749
91,0.019532991665005685,0.9937,0.6157103699684143,0.8767
92,0.016417108587026597,0.9946,0.6110376292228699,0.8754
93,0.01586475844860077,0.99526,0.6109004588127136,0.8763
94,0.01462351529866457,0.99548,0.6093578068733215,0.8765
95,0.015518538421988488,0.99532,0.6106235761642456,0.8759
96,0.013940495179891587,0.99576,0.6098107125282287,0.8765
97,0.014887576596140862,0.99562,0.6110749950408936,0.8761
98,0.014015664149522782,0.99574,0.6122086359977722,0.8774
99,0.013592752518057824,0.99622,0.6105219915390014,0.8782
100,0.013962428286969662,0.9955,0.6082049249649047,0.8797
101,0.01365892242744565,0.9958,0.611124430179596,0.8773
102,0.011940311327278614,0.99632,0.6096971302032471,0.8781
103,0.012393808893859387,0.99632,0.6086730832099915,0.8791
