epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
74,0.0314639996278286,0.98932,0.598575500869751,0.8721
75,0.03157777990937233,0.98876,0.6133292020797729,0.8709
76,0.02938857157468796,0.99036,0.6169786318778991,0.8712
77,0.029639808000326156,0.9904,0.6129321115493774,0.8736
78,0.029194502923488616,0.99004,0.6223080677032471,0.8706
79,0.026672160074710845,0.99124,0.62290890417099,0.8683
80,0.02689368401169777,0.99088,0.6264414352416993,0.8699
81,0.02796019294857979,0.99068,0.6267907230377198,0.8703
82,0.027166004657745362,0.99064,0.6310500346183777,0.8702
83,0.024976219653487206,0.99154,0.618098663520813,0.8734
84,0.02517780666232109,0.99148,0.627434104347229,0.8707
85,0.023414762160778046,0.99246,0.6431301080703735,0.8689
86,0.02489835258245468,0.99204,0.6328453355789184,0.8694
87,0.023940925225019456,0.99212,0.6507386308670043,0.8666
88,0.02318783195614815,0.99244,0.643122239112854,0.867
89,0.023881642426848412,0.99154,0.6445997119903565,0.8714
90,0.02162710234224796,0.9929,0.6359678027153015,0.8708
91,0.01861071765869856,0.994,0.6277633705139161,0.8733
92,0.017498599323034287,0.99428,0.6280764852523804,0.8744
93,0.016994427835345268,0.9946,0.6256551152229309,0.8743
94,0.016815646985173224,0.99486,0.6247395186424255,0.8749
95,0.016887388193011284,0.99452,0.6251683595657349,0.8746
96,0.014723393823504448,0.9954,0.6261082005500793,0.875
97,0.015478609719276427,0.99502,0.6229710121154786,0.8742
98,0.015322290363907814,0.99542,0.6263049404144287,0.8748
99,0.014326215791404247,0.99568,0.6262346179008483,0.8762
100,0.01432990334033966,0.99562,0.6260807595252991,0.8747
101,0.013791684680581093,0.99574,0.6275564137458801,0.8732
102,0.013449961911439896,0.99598,0.6275973196029663,0.8739
103,0.013944361560940742,0.99596,0.6301093718528747,0.8741
104,0.013483213585764169,0.99614,0.6299997786521911,0.8737
105,0.013691555478572846,0.99604,0.6289314445495605,0.8754
