Class,Precision,Recall,F1-Score
airplane,0.8717,0.9040,0.8876
automobile,0.9383,0.9270,0.9326
bird,0.8668,0.8330,0.8496
cat,0.7294,0.7600,0.7444
deer,0.8690,0.8760,0.8725
dog,0.8212,0.7900,0.8053
frog,0.9058,0.9130,0.9094
horse,0.9097,0.8970,0.9033
ship,0.9324,0.9240,0.9282
truck,0.8997,0.9150,0.9073
Overall,0.8744,0.8739,0.8740
Accuracy,0.8739,,
